Periodo,Población
Tercer trimestre del 2017,1931269|2.12448063860703|41029.4359844195|
Segundo trimestre del 2017,1870180|2.32593315217867|43499.136625415|
Primer trimestre del 2017,1821825|2.16493029974147|39441.241433265|
Cuarto trimestre del 2016,1911126|2.08857670041154|39915.3323515071|
Tercer trimestre del 2016,2183703|2.08338257166684|45494.887718966|
Segundo trimestre del 2016,2105975|2.03027624497159|42757.1101500404|
Primer trimestre del 2016,2140020|2.03254997014495|43496.975871096|
Cuarto trimestre del 2015,2240498|2.04819275171249|45889.7176382632|
Tercer trimestre del 2015,2445263|1.86666966207383|45644.9825789163|
Segundo trimestre del 2015,2287633|1.91423754496706|43790.7297770563|
Primer trimestre del 2015,2201778|2.02540532151167|44594.9287798733|
Cuarto trimestre del 2014,2284602|1.93601764555136|44230.2978506192|
Tercer trimestre del 2014,2736699|1.73864850982886|47581.5763820013|
Segundo trimestre del 2014,2535195|1.82575340523557|46286.409041862|
Primer trimestre del 2014,2478071|1.79507295467158|44483.1823185595|
Cuarto trimestre del 2013,2425287|1.87781710063557|45542.4540254915|
Tercer trimestre del 2013,2725186|1.85592469974293|50577.4000879363|
Segundo trimestre del 2013,2599636|1.83738345221352|47765.2816817855|
Primer trimestre del 2013,2488987|1.8938586676022|47137.8960349919|
Cuarto trimestre del 2012,2495728|1.96466121664749|49032.6000890121|
Tercer trimestre del 2012,2652030|1.83896745506753|48769.9685986275|
Segundo trimestre del 2012,2473798|1.92244770481427|47557.4728727413|
Primer trimestre del 2012,2466577|1.90930077280554|47094.3737228438|
Cuarto trimestre del 2011,2465029|1.94898404283285|48043.0218612022|
Tercer trimestre del 2011,2776351|1.93062167478002|53600.8341739718|
Segundo trimestre del 2011,2590526|1.93676873155675|50172.4975508478|
Primer trimestre del 2011,2499353|1.88948586966009|47224.9217679255|
Cuarto trimestre del 2010,2566784|1.8991414225058|48746.8581702512|
Tercer trimestre del 2010,2737444|1.84856209071446|50603.3520385376|
Segundo trimestre del 2010,2535508|1.82643374272389|46309.3736614636|
Primer trimestre del 2010,2544935|1.89605620050188|48253.3978662426|
Cuarto trimestre del 2009,2560088|1.91912232140582|49131.2202556317|
Tercer trimestre del 2009,2995374|1.76300746851087|52808.6673298327|
Segundo trimestre del 2009,2426059|1.91532454608459|46466.9035294943|
Primer trimestre del 2009,2350520|2.1287599317839|50036.9279485668|
Cuarto trimestre del 2008,1954971|2.04595939913713|39997.9129249052|
Tercer trimestre del 2008,1934241|2.10008663395321|40620.736709443|
Segundo trimestre del 2008,1612305|2.39436715509063|38604.5013598839|
Primer trimestre del 2008,1801231|2.17208327769603|39124.237343677|
Cuarto trimestre del 2007,1622872|2.40714056642466|39064.8102531473|
Tercer trimestre del 2007,1763066|2.20182085587691|38819.5548908748|
Segundo trimestre del 2007,1518467|2.37054215136323|35995.9002895406|
Primer trimestre del 2007,1788763|2.13115837925861|38121.3725595776|
